"name","vicinity","type","latitude","longitude","rating","reviews","place_id","Sentiment Ratio"
"Rajesh Pratap Singh","Shop No.4, Main Market, Lodi Colony, New Delhi","['point_of_interest', 'clothing_store', 'store', 'establishment']","28.5846956","77.2233495","","['I would not contact them as they wasted a lot of my time and later increased the price of every article by 15-20% saying they are customizing.\nGoing to a designer means “CUSTOMIZING”. They should name themselves as a run of the mill like “frontier bazaar”.\nTheir Sherwani as shown on their website is listed at Inr 110,000/- and now they are asking extra 20000 for the buttons, whereas nowhere on their website does it show that buttons are not included as shown in the picture.\nSo beware, don’t waste your time.', '&&&&&', 'Out of all the high end fashion designers, Rajesh Pratap Singh is by far the best for their customer oriented approach, and geniunenly caring for the customer, and thats mainly because of sapna and her team. Thank you team RPS!', '&&&&&', 'Amazing collection. Modern Outlook towards classics', '&&&&&', 'Good Shop of Rajesh pratap singh', '&&&&&', 'My experience is great & thankful', '&&&&&']","ChIJK2vn4PPiDDkR0vGIG4wO2MI"
"Hotel Park Land","C-169, Chandan Vithi Road, Block C, Defence Colony, New Delhi","['lodging', 'point_of_interest', 'establishment']","28.57270519999999","77.2325315","","['Excellent location\nValue for money 4/5', '&&&&&', '', '&&&&&', '', '&&&&&', '', '&&&&&', '', '&&&&&']","ChIJEV_DCl3iDDkRt2mFpWF8Trw"
"Slice Of Italy","147, Lodhi Road, Meharchand Market, Lodhi Estate, New Delhi","['bakery', 'restaurant', 'point_of_interest', 'food', 'store', 'establishment']","28.581887","77.227008","","['The joint actually serves as a delivery depot. There is no arrangement to sit and eat, but the guy at the counter was helpful and allows us to have a pizza there, which we enjoyed amid a Non working AC and two heat emitting refrigerators. The pizza was good but would have been a better treat if had order online and enjoyed at home. Overall, not a facility to sit and eat but to order and take away.', '&&&&&', ""Italias No 1 Pizza\nNew York Cake Slice\nvia zomato\n\nPackaging - 2/5 ( Not at all impressive specially for cake )\nCrust Quality - 2/5 ( Too dry and thick )\nFood Quantity - 3/5\nCheese Quality - 4/5\nDressing sauce Quality - 4/5\nOverall taste - 2/5 ( The base is the heart of any pizza )\n\nNew York Cake Slice - Its not even Slice 😂\n( It's simple you can't merge two biggest city in one restaurant )\nCake Quality - 1/5 ( You can bake better cake at home )\nSugar level - 2/5 ( Very limited and perfect to taste )\nChocolate Quality - 2/5 ( Mild )\nVanilla Quality - 2/5 ( Mild )\n\n- The base is the core of any pizza.\n\n- Slice of All major cities NOT"", '&&&&&', ""Ummm really ! Place breeds no review. Below average. Now that we have such amazing pizza options available I don't know how they are still gaining any profit. But once had pasta her.. didn't like it at all. Pizzas are not bad.. but nothing new."", '&&&&&', 'This place is like an Italian paradise. They have so much variety of not only pizzas but also sandwiches, desserts and risottos. They totally lived up to my expectation. I always order their pizzas. I have tried all their pizzas and all of them are good but my personal favourite is Philly Cheese. Definitely a place to go if you are a pizza lover!', '&&&&&', 'Slice of Italy\'s PIZZA is my favourite pizza for so many reasons. I love how it always has freshly baked pizzas, how it has garlic bread that is so flavoursome and how it always has a collection of my favourite pastas. My favourite pizza is their ""Farm House Pizza"" and even as I am writing this review my mouth is watering thinking of the tasty Farm House Pizza! I would rate this place 5/5! THUMBS UP!!', '&&&&&']","ChIJI0-4D_fiDDkRKRJCoRd85YA"
"Wills Lifestyle","Shop No. F, 41, Mahatma Gandhi Road, South Extension I, Block F, New Delhi","['clothing_store', 'point_of_interest', 'store', 'establishment']","28.5691832","77.2191589","","[""Though products are good but didn't find latest trends, excellent customer service, very humble and helpful staff. But very high price, so much expensive.\n#Expensive\n#GoodCustomerService"", '&&&&&', ""Never trust and buy this brand.. price too high and quality too low below normal standard..its better to purchase from street market rather than purchasing from them..had a worse experience ever.. my shirt got torn just by removing a tag.. and when complaint they don't help.. never respond to your calls, messages. When you buy the product the make all the fake promises and promises to help in future bt customer care also don't respond till that time and your no queries is resolved.. let the buyer be aware .. !! Don't invest your hard earn money here.. its better to give to beggar rather than buying from them..they just know how to trouble a person.. I am regretting from buying products from here.. I am making you aware you also don't fall into their prey.. they are just money makers.."", '&&&&&', 'Wills as such is quite popular brand and this shop is quite large with good collection and variety. Their trial rooms are quite unique and offers different lighting scenarios to help customers judge how they would look under different lighting.', '&&&&&', 'Well located at DLF Mall of India, NOIDA. However, lacked variety and the store did not look well stocked. The same was apparent when we asked for ladies trouser but found they did not have sizes. I anyways found a pant and tried to pay but the POS machine did not work. The store staff was nice and the manager called the store in GIP, but was still not able to get the size.  Finally managed to get the billing done in another store. Although I did buy two pants cause of the discount condition applicable, I had to get one of the pants exchanged at the Wills store at South Extn.', '&&&&&', 'A good place for shopping clothes. showroom is very big and wide also. I mostly like its logo. But clothes are more amazing than logo.', '&&&&&']","ChIJAQAAwF7iDDkRgojJxKBM9Gk"
"Woodland","E 11, South Extension 2, New Delhi","['shoe_store', 'point_of_interest', 'store', 'establishment']","28.5677547","77.2206408","","['Good service and good infrastructure and good behaviour of owner and staff. I am satisfied', '&&&&&', 'Very bad quality and faulty product. No replacement offered', '&&&&&', 'Good location. Parking available. No discount allowed.', '&&&&&', 'This used to be the best shop for shoes but now when you go inside you see no innovation. Their best shoe isn’t good enough. The old ones are being sold for 2x the price.  What a shame as this used to be a great brand some 5 years back!', '&&&&&', 'They have decent stock and most of the latest articles. Helpful staff and huge 3 floors of inventory.', '&&&&&']","ChIJAQAAwGviDDkRfpCn2Gp0u5A"
"Defence Store","38, Defence Colony Main Market, New Delhi","['grocery_or_supermarket', 'home_goods_store', 'point_of_interest', 'food', 'store', 'establishment']","28.573641","77.23044089999999","","[""Hey fellow flavor enthusiasts! Let me introduce you to Defence Store – your ultimate culinary haven. Offering an array of imported treasures, gluten-free essentials, and premium kitchen gear, it's a paradise for taste adventurers like us. Trust me, this spot is a game-changer. Come on over and let's explore!"", '&&&&&', 'The best store for all your daily needs. Found all the imported goods I needed for the house. They have amazing collection of dinner sets as well.', '&&&&&', 'One of the best store to visit in Defence Colony. Got all kitchen appliances needed for the kitchen and also found all the things needed to setup a new kitchen. Shall visit again!!', '&&&&&', 'Very bad pricing 😕😞\nDecent availability of products\nGreat location of defence colony\nNot at all competitive', '&&&&&', ""Kind helpful staff all around to help and suggest.\nGood store to buy regular household stuff as well as personal care cosmetic.\nand the good thing  is Price is always lower than the MRP.\nIt has two floors and both the floor's has checkout availability"", '&&&&&']","ChIJmW3JSVfiDDkRrIIAdSNjnZ0"
"Khanna Jewellers","F - 39, Mahatma Gandhi Road, South Extension I, New Delhi","['jewelry_store', 'point_of_interest', 'store', 'establishment']","28.5691584","77.2195462","","['This is a jewellery shop where the customer is treated like royalty. Designs are superb and there is a huge variety.\nThe sales person kiran is so courteous,friendly and helping.\nOverall I had a great experience there.', '&&&&&', 'Big fan of khanna… genuinely saying it- finest quality & best designs. The staff makes the experience better 👍🏻 Uma didi being my favorite. She understands individual taste and is quick.', '&&&&&', 'Recently visited a store and bought some jewelry for my wife. The prices were reasonable and after checking out a few more stores we found the best designs here. The store representative Kiran Rathore was extremely helpful and ensured we had a great experience. Will visit again for future purchases', '&&&&&', 'I recently had the pleasure of being assisted by Sushmaji and I was impressed with her services Sushmaji approachable manner and professional service made my visit for the last three decades to Khanna jewellers a positive one and I appreciate the efforts she always put into making sure that I go happily always with good purchases', '&&&&&', 'The quality is degraded, the bangle broke twice within a year. One gold bead was missing from the bangle, very shabby repair was done. The second time another lady was complaining of the same.... broken bangle within 6 months of purchase. Very sad, do not waste your money here.', '&&&&&']","ChIJ37xQvkLiDDkRiYzvlwR14xQ"
"Edwise International","N-13, Opp. Flyover Above Punjab National Bank, South Extension I, Block N, New Delhi","['point_of_interest', 'establishment']","28.5688728","77.2233444","","['I really had a great experience here in Edwise international Delhi. I had done my PTE class online from Edwise delhi with the help of MR. Umesh prasad singh Trainer Edwise overseas education consultants in Delhi branch. He is so nice and humble he guided to to achieve good score and my desired score in PTE test.', '&&&&&', 'My experience with Edwise has been wonderful . I joined Edwise to get tutored for IELTS and with the excellent guidance of my instructor Mr. Umesh Prasad Singh, managed to secure 8 band . Really thankful that I got a wonderful trainer who could help me attain a decent score and grasp the concepts of the exam within such a short period of time .', '&&&&&', 'The best abroad educational service out there!\nI got into my target uni in Australia easily, because despite tough odds I received right and timely guidance from the counsellor .\nMy counsellor Himanshi Jain is exceptional when it comes to taking care of all things. She helped me beyond her means. I just have praises for her. I highly recommend her.', '&&&&&', 'Edwise is a great organization as they assist you thought the process from helping you find appropriate universities to apply in them. IELTS coaching provides by Umesh sir is highly recommended, as he prepares you professionally and with proper guidance. I really had a great time with him and he has guided me a lot to get a good band in my IELTS exam.', '&&&&&', ""I had a wonderful learning experience at Edwise while undergoing IELTS coaching under the guidance of Umesh Sir. The program significantly enhanced my skills in handling listening and reading tasks, as well as improved my writing effectiveness. The speaking course played a pivotal role in boosting my confidence, transforming me into a much more confident individual. Under Sir's expert guidance, I dedicated all my efforts to address and enhance my language skills and proficiency."", '&&&&&']","ChIJq6qqGoQdDTkRJMQ-qvynXME"
"3D Tattoos Studio","454A, Defence Colony, New Delhi","['point_of_interest', 'store', 'establishment']","28.5723388","77.2300908","","[""Gupt is outstanding. He is not just a tattoo artist. He is a pure artist. He is never in a rush. He listens. He is patience. He lets you change your mind and when you finally make your mind up he will make you a tattoo that people will be jealous. I got two MASSIVE tattoos done on both my calves and he gave me a great price for it as well. I went to his parlour all the way from Gurgaon and never let me down.  He is also super-quick.If you're looking for a real tattoo artist , he is your guy.\n\nThanks for the lovely ones you gave me Gupt."", '&&&&&', ""I have got a tattoo done for here, it was a huge tattoo which took 7 hours. He is amazing. The very first time I met him I was quiet satisfied as my instinct suggested me to get it done from him. Later on when I got my tattoo done I loved it.  His patience and efforts were way more than mine. Don't think twice he is a great artist and at a very affordable price. He has changed my life in many way. Go for it guys go for it. Amazing artist. Worth it!"", '&&&&&', ""An extremely underrated tattoo parlour. Gupt Ram is an amazing artist. Do not get taken aback if you don't like the place, trust him and go with it. Very reasonable and worth every single penny."", '&&&&&', 'This is my second tattoo done by Gupt and I must say he is a wonderful artist, very patient and a good human being. Since tattoos are permanent and needs to be artistic, I would suggest anyone in Delhi to come and get his tattoo done from him. Thank U sooo much Gupt😍U R simply amazing!! I m in luv with my new tattoo😎', '&&&&&', ""This place is amazing, artist like gupt should be everywhere.. he is by far the most cooperative artist I've ever seen... My tattoo took more than five hours but he never asked for a break, in the end I had to force him to grab some food.\nMy tattoo was completed at 4 in the morning, and he didnt even asked for a second sitting..\nI love the tattoo on top of it all."", '&&&&&']","ChIJVVVVFVHiDDkR6ebQvdBma3w"
"Defence Colony","Defence Colony","['sublocality_level_1', 'sublocality', 'political']","28.5733536","77.2326497","","[]","ChIJQyZfKFHiDDkRxoP07W2fGcQ"
